,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2289,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,100.0
2290,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,100.0
2291,0.0,0.0,34,0.0,0.0,0.0,2.0,5.8,1.0,100.0
2292,0.0,0.0,34,0.0,0.0,0.0,2.131111111,5.8,1.0,100.0
2293,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,1.0,100.0
2294,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,2.0,100.0
2295,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,2.0,100.0
2296,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,2.99,100.0
2297,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,2.99,100.0
2298,0.0,0.0,35,0.0,0.0,0.0,2.2,5.8,2.99,100.0
2299,0.0,0.0,35,0.0,0.0,0.0,2.205,5.8,2.0,100.0
2300,0.0,45.55,36,12.0,20.0,10.97,2.2,5.711944443999999,2.0,100.0
2301,0.0,45.55,36,12.0,20.0,10.97,2.2,5.6,1.8307131319999999,169.9933244
2302,0.0,45.55,36,12.0,20.0,10.97,2.2,5.6,1.9948571430000002,207.1428571
2303,0.0,45.55,36,12.0,20.0,10.97,1.7094339619999999,5.6,0.92669745,167.4170185
2304,0.0,45.55,36,12.0,20.0,10.97,1.725486111,5.6,4.000197603999999,206.80952380000002
2305,0.0,45.55,36,12.0,20.0,10.97,1.8477083330000001,5.6,3.1330501930000003,170.0
2306,0.0,45.55,36,12.0,20.0,10.97,1.9,5.6,3.9933333330000003,150.0
2328,0.0,0.0,40,0.0,0.0,0.0,2.746492659,5.8,1.50442394,147.0382314
2329,0.0,0.0,40,0.0,0.0,0.0,2.750555556,5.8,6.0412572220000005,158.7863726
2330,0.0,0.0,40,0.0,0.0,0.0,2.7,5.8,5.99375,160.0
2331,0.0,0.0,40,0.0,0.0,0.0,2.7,5.8,2.955268348,159.4808489
2332,0.0,0.0,40,0.0,0.0,0.0,2.658125,5.841875,6.106991592000001,151.1850312
2333,0.0,0.0,40,0.0,0.0,0.0,2.498126301,5.925537821,6.458922364,143.7343079
2403,0.0,0.0,51,0.0,0.0,0.0,3.0,6.0,2.008488866,103.83229809999999
2404,0.0,0.0,51,0.0,0.0,0.0,3.0,6.0,2.424239664,104.25403730000001
2405,0.0,0.0,51,0.0,0.0,0.0,2.955833333,6.0,3.6528870430000002,98.49244079
